radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averagesignal
NR,460,0,1179689,47244947768,-1,120.1876,30.1932,712,28,1,1688266091,1736860205,0
NR,460,0,1179720,47249072341,-1,120.0357,30.2665,1000,11,1,1688430648,1709114044,0
NR,460,0,1179688,47249817911,-1,120.1231,30.2719,1000,5,1,1689041489,1704517082,0
NR,460,0,1179716,47253274837,-1,120.1069,30.2726,1000,7,1,1689044918,1704523693,0
NR,460,0,1179716,47250387056,-1,120.1051,30.2716,1000,9,1,1689044928,1704523693,0
NR,460,0,1179716,47249825903,-1,120.1028,30.2701,1000,15,1,1689044958,1704523693,0
NR,460,0,1179716,47249825905,-1,120.0999,30.2687,1000,28,1,1689044988,1704523693,0
NR,460,0,1179716,47784628335,-1,120.0848,30.265,1306,7,1,1689045008,1704523693,0
NR,460,0,1179716,47263481967,-1,120.0795,30.2642,1000,30,1,1689045098,1704523693,0
NR,460,0,1179660,47249485935,-1,120.0675,30.2614,1000,55,1,1689045158,1704523693,0
NR,460,0,1179660,47281373397,-1,120.0618,30.2587,1000,13,1,1689045198,1704523693,0
NR,460,0,1179720,47250501744,-1,120.0382,30.2485,500,27,1,1689045408,1746109141,0
NR,460,0,1179720,47270682737,-1,120.0331,30.2539,1000,16,1,1689045488,1706661182,0
NR,460,0,1179720,47789703281,-1,120.034,30.2562,1000,45,1,1689045578,1708508102,0
NR,460,0,1179720,47250432112,-1,120.0348,30.26,1000,14,1,1689045588,1746109141,0
NR,460,0,1179720,47250432111,-1,120.0337,30.2617,1000,33,1,1689045678,1708508103,0
NR,460,0,1179720,47279267953,-1,120.0338,30.2649,1000,40,1,1689045688,1708508103,0
NR,460,0,1179720,47279267952,-1,120.035,30.2666,1000,15,1,1689045728,1709114044,0
NR,460,0,1179720,47270682735,-1,120.0336,30.2555,1000,30,1,1689108627,1708508102,0
NR,460,0,1179720,47250432113,-1,120.034,30.2641,1000,32,1,1689108846,1708508103,0
NR,460,0,1179720,47245824113,-1,120.0388,30.2775,1000,11,1,1689108980,1746109141,0
NR,460,0,1179720,47279628600,-1,120.0398,30.2748,1000,12,1,1689109021,1713935709,0
NR,460,1,3281661,13518615630,-1,116.874,36.0037,963,48,1,1688257768,1741195022,0
NR,460,1,3281661,13518622722,-1,116.8752,36.0076,796,43,1,1688257878,1741195321,0
NR,460,1,3281661,13519090765,-1,116.8758,35.9864,2339,47,1,1688447791,1704865803,0
NR,460,1,3281661,13519000653,-1,116.8774,36.0005,4628,50,1,1688449019,1732698603,0
NR,460,1,3281661,13519017037,-1,116.8672,36.0199,2769,24,1,1688450086,1741195269,0
NR,460,1,3281661,13518622723,-1,116.8674,36.0096,1634,38,1,1688450249,1741194963,0
NR,460,1,3281661,13519004750,-1,116.8771,35.9918,1374,22,1,1688450785,1704865803,0
NR,460,1,3281661,13518861392,-1,116.8918,35.9906,5812,83,1,1688450986,1720371376,0
NR,460,1,3281661,13518684163,-1,116.8785,35.9805,2952,30,1,1688451101,1734100802,0
NR,460,1,3281661,13519000654,-1,116.874,35.9777,2271,171,1,1688699531,1720371391,0
NR,460,1,3281661,13518684162,-1,116.8772,35.9552,2470,50,1,1688700241,1732698604,0
NR,460,1,3281661,13519082578,-1,116.8858,35.9954,1880,30,1,1688704768,1741194963,0
NR,460,1,3281661,13518767182,-1,116.8777,35.9999,1000,2,1,1689057361,1704865803,0
NR,460,1,3281661,13518615629,-1,116.8644,36.0102,1934,26,1,1689118267,1741195269,0
NR,460,1,3281661,13519082574,-1,116.8659,36.0158,1959,48,1,1689118306,1720528623,0
NR,460,1,3281661,13518861390,-1,116.8745,35.9623,2233,31,1,1689126048,1720371422,0
NR,460,11,13608968,55735402758,-1,118.6539,31.9924,4165,35,1,1689304361,1742473042,0
NR,460,11,13608194,55734337792,-1,118.7939,31.9737,1000,17,1,1689304760,1742473212,0
NR,460,1,3281661,13518684161,-1,116.886,35.9479,1290,26,1,1693942520,1720371422,0
NR,460,1,3281661,13518622721,-1,116.8711,36.0174,1949,50,1,1696362497,1741195321,0
NR,460,1,3281661,13518980173,-1,116.8194,36.12,2636,50,1,1696363609,1741195267,0
NR,460,1,3281661,13518980175,-1,116.8094,36.1296,549,50,1,1696363727,1741195265,0
NR,460,1,3281661,13519200257,-1,116.8111,36.1385,910,25,1,1696363807,1741195205,0
NR,460,1,3281661,13518476369,-1,116.8129,36.1474,1961,45,1,1696363901,1741195205,0
NR,460,1,3281661,13518701646,-1,116.8147,36.1644,1105,29,1,1696363950,1741195141,0
NR,460,1,3281661,13518476368,-1,116.815,36.1662,1000,12,1,1696363981,1720371382,0
NR,460,1,3281661,13518476370,-1,116.8111,36.1667,1000,15,1,1696364025,1741195085,0
NR,460,1,3281661,13518734416,-1,116.8076,36.1612,3021,39,1,1696364048,1741195205,0
NR,460,1,3281661,13518734418,-1,116.8051,36.1679,1000,15,1,1696364074,1741195085,0
NR,460,1,3281663,13518246990,-1,116.8056,36.1748,1000,14,1,1696364100,1741195085,0
NR,460,1,3281663,13518865485,-1,116.8043,36.1769,719,28,1,1696364133,1741195085,0
NR,460,1,3281663,13518734413,-1,116.8031,36.1761,1064,34,1,1696364151,1741195085,0
NR,460,1,3281663,13518865489,-1,116.8032,36.1794,633,31,1,1696364160,1741195085,0
NR,460,1,3281661,13519065089,-1,116.8061,36.189,1000,32,1,1696364180,1720371383,0
NR,460,1,3281661,13519249411,-1,116.8073,36.1904,1000,6,1,1696364212,1720371383,0
NR,460,1,3281661,13519065091,-1,116.7952,36.1885,1000,53,1,1696364263,1720371383,0
NR,460,1,3281663,13518307329,-1,116.786,36.1892,1000,26,1,1696364333,1720371383,0
NR,460,1,3281663,13518364677,-1,116.7808,36.1893,1000,14,1,1696364403,1720371383,0
NR,460,1,3281663,13518331905,-1,116.7797,36.1892,1000,6,1,1696364423,1720371383,0
NR,460,1,3281663,13518364674,-1,116.7756,36.1892,1000,22,1,1696364443,1720371383,0
NR,460,1,3281663,13518336002,-1,116.7703,36.1899,1000,27,1,1696364513,1720371384,0
NR,460,1,3281663,13518532609,-1,116.7712,36.1916,1000,12,1,1696364743,1720371384,0
NR,460,1,3281663,13518532611,-1,116.7695,36.1902,1000,6,1,1696364973,1720371384,0
NR,460,1,3281663,13518352389,-1,116.7626,36.1839,1000,7,1,1696384829,1741195084,0
NR,460,1,3281663,13518438401,-1,116.7634,36.1833,1000,6,1,1696385159,1741195084,0
NR,460,1,3281663,13518360579,-1,116.7651,36.1833,1000,9,1,1696385179,1741195084,0
NR,460,1,3281663,13518336001,-1,116.7675,36.1911,1000,3,1,1696385339,1720371384,0
NR,460,1,3281663,13518865490,-1,116.7952,36.1811,1000,10,1,1696386029,1741195085,0
NR,460,1,3281663,13518246993,-1,116.794,36.1798,1000,7,1,1696386049,1741195085,0
NR,460,1,3281661,13518548995,-1,116.7947,36.157,1000,22,1,1696386269,1741195204,0
NR,460,1,3281661,13518581764,-1,116.7918,36.1572,1000,7,1,1696386349,1741195204,0
NR,460,1,3281661,13518548994,-1,116.804,36.1577,1000,19,1,1696386519,1741195205,0
NR,460,1,3281661,13518585857,-1,116.8063,36.15,1000,8,1,1696386579,1720371381,0
NR,460,0,1179689,47246983379,-1,120.1908,30.196,1000,20,1,1688363915,1747577287,0
NR,460,0,1179689,47246983380,-1,120.191,30.194,1000,19,1,1688363944,1747577287,0
NR,460,0,1179689,47261798712,-1,120.1903,30.1964,1000,8,1,1688364074,1724984892,0
NR,460,0,1179689,47264506068,-1,120.1903,30.1985,1000,22,1,1688364084,1747577408,0
NR,460,0,1179689,47246291056,-1,120.1899,30.1983,1000,12,1,1688364094,1747577287,0
NR,460,0,1179689,47278698909,-1,120.191,30.1986,511,34,1,1688364134,1747577408,0
NR,460,0,4609425,6425833472,-1,118.7527,30.9473,1000,6,1,1688373433,1724984903,0
NR,460,0,4609425,6425841665,-1,118.7521,30.9467,1000,9,1,1688373441,1724984903,0
NR,460,0,4609425,6425837569,-1,118.7512,30.9463,1000,10,1,1688373451,1724984903,0
NR,460,0,4609425,6425833473,-1,118.7513,30.9463,1000,12,1,1688373531,1724984903,0
NR,460,0,4609425,6425972736,-1,118.751,30.945,1000,15,1,1688373541,1716204134,0
NR,460,0,4609425,6425972738,-1,118.7498,30.9432,1000,20,1,1688373571,1716204134,0
NR,460,0,4609425,6425817088,-1,118.7512,30.9431,1000,18,1,1688373581,1716204134,0
NR,460,0,4609425,6425845762,-1,118.7511,30.9407,1000,14,1,1688373641,1716204134,0
NR,460,0,4609425,6425866241,-1,118.75,30.9404,1000,7,1,1688373671,1713777312,0
NR,460,0,4609425,6425927680,-1,118.7464,30.9423,1000,12,1,1688373701,1716204134,0
