radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averagesignal
NR,262,1,5153,281809100,0,11.4945,53.7084,1000,11,1,1596585601,1702512061,0
NR,262,2,49404,348930271,-1,13.4324,52.5734,7630,17,1,1668687811,1712135764,0
NR,262,2,49404,348930251,-1,13.4254,52.5787,6014,17,1,1670356441,1711038070,0
NR,262,2,49404,348930260,-1,13.467,52.6045,3465,13,1,1672550523,1725578045,0
NR,262,2,49401,1153843412,-1,13.4189,52.5307,1000,2,1,1686545722,1710275465,0
NR,262,2,49401,36196778196,-1,13.4388,52.5719,7387,6,1,1699879011,1725578102,0
NR,262,3,22020,6882492589,-1,13.3717,52.4919,1000,1,1,1700453425,1700453425,0
NR,262,3,22020,6952927343,-1,13.3717,52.4919,1000,1,1,1700453485,1700453485,0
NR,262,2,43500,36251582665,-1,13.7243,51.0437,1000,10,1,1701874857,1701898562,0
NR,262,2,43500,36251582667,-1,13.7207,51.0462,1000,7,1,1701874887,1701898562,0
NR,262,2,43501,36190208222,-1,13.6896,51.0948,1000,8,1,1701875702,1701898563,0
NR,262,2,43501,36190208202,-1,13.6855,51.0962,1000,4,1,1701875722,1701898563,0
NR,262,2,43501,36190208223,-1,13.6826,51.0974,1000,6,1,1701875732,1701898563,0
NR,262,2,43501,349438155,-1,13.6568,51.1031,1000,2,1,1701875911,1701898563,0
NR,262,2,43504,336183497,-1,13.6522,51.1036,1000,4,1,1701875978,1701898563,0
NR,262,3,22522,6921175153,-1,13.4078,52.3888,10638,2,1,1701181060,1705443494,0
NR,262,3,22011,6979354735,-1,13.5559,52.6722,1000,1,1,1701261445,1701261445,0
NR,262,2,46003,356565214,-1,8.6602,50.105,1000,1,1,1703141422,1703141422,0
NR,262,2,49401,36196778195,-1,13.4271,52.5851,1000,3,1,1703110578,1703280368,0
NR,262,2,48041,475627722,-1,11.0883,49.4368,1000,2,1,1701773887,1704247262,0
NR,262,3,22521,6888357999,-1,13.318,52.4853,1000,1,1,1705137690,1705137690,0
NR,262,3,22002,6958252144,-1,13.4304,52.3583,1000,3,1,1705483059,1705600384,0
NR,262,1,13874,536968072,0,11.1848,51.2774,1000,1,1,1705746083,1705746083,0
NR,262,3,51533,8195080303,-1,12.1689,49.6892,1000,1,1,1705840401,1705840401,0
NR,262,3,35160,7438205099,-1,7.4895,51.46,1000,1,1,1702626360,1702626360,0
NR,262,1,31426,21254094080,-1,6.7481,49.3208,1000,1,1,1709282004,1709282004,0
NR,262,3,48142,9348087920,-1,6.7569,49.3056,1000,1,1,1709286554,1709286554,0
NR,262,3,22020,6950437037,-1,13.4323,52.2978,1000,3,1,1709264545,1709314156,0
NR,262,3,48142,9348153456,-1,6.874,49.3062,5330,21,1,1709365984,1711978441,0
NR,262,1,31426,21253289217,-1,6.8459,49.2999,1870,51,1,1709455137,1712074926,0
NR,262,3,22001,6954680491,-1,13.4321,52.2983,1000,2,1,1709309212,1709498951,0
NR,262,1,31204,21259005441,-1,8.0961,51.4652,1000,4,1,1707206160,1709891646,0
NR,262,1,31204,21249262340,-1,8.0964,51.4632,1000,4,1,1707206170,1709891646,0
NR,262,1,31200,21258650369,-1,8.0826,51.2644,1000,10,1,1709084739,1709891766,0
NR,262,1,31200,21259493633,-1,8.0821,51.2658,1000,3,1,1709084759,1709891766,0
NR,262,2,47551,36202954955,-1,9.9385,48.3267,1000,7,1,1710663857,1710698712,0
NR,262,2,47551,36202954954,-1,9.9446,48.3329,1000,11,1,1710663880,1710698712,0
NR,262,2,47551,36202954953,-1,9.9498,48.341,1000,20,1,1710663902,1710698712,0
NR,262,3,48140,9348595824,-1,6.9766,49.2254,1000,1,1,1710763274,1710763274,0
NR,262,3,148140,9347416237,-1,6.9964,49.2306,1000,2,1,1710763950,1710794763,0
NR,262,3,48140,9366585516,-1,6.9959,49.2324,1000,1,1,1710771054,1710771054,0
NR,262,1,31417,21259123714,-1,6.9947,49.2319,1000,3,1,1710771117,1710794764,0
NR,262,1,31417,21254777345,-1,6.9944,49.2302,1000,13,1,1710771202,1710794764,0
NR,262,3,48140,9366749325,-1,6.9953,49.2294,1000,5,1,1710771772,1710794764,0
NR,262,3,48140,9366749326,-1,6.9788,49.2323,1071,41,1,1710772621,1710794764,0
NR,262,3,16777214,36248240331,-1,7.0466,50.7381,1000,2,1,1709970867,1711981572,0
NR,262,3,59642,8062288043,-1,9.0227,48.6791,1000,21,1,1711188618,1711229162,0
NR,262,3,59642,8062288044,-1,9.0106,48.6743,900,34,1,1711190083,1746811262,0
NR,262,3,59642,8078311596,-1,9.0098,48.6834,1175,50,1,1711190232,1746811262,0
NR,262,3,59642,8085143725,-1,9.0063,48.6905,2517,27,1,1711191675,1739298303,0
NR,262,1,31426,21250755075,-1,6.896,49.3035,1000,1,1,1711264725,1711264725,0
NR,262,3,51550,8228520047,-1,10.4641,48.3944,1000,20,1,1711276306,1711369444,0
NR,262,3,51550,8228520048,-1,10.447,48.3987,1000,12,1,1711276359,1711369444,0
NR,262,3,51550,8248672368,-1,10.4294,48.4209,1000,21,1,1711276525,1711369444,0
NR,262,3,51543,8248901744,-1,10.4223,48.4325,1000,19,1,1711276647,1711369444,0
NR,262,3,51543,8248901745,-1,10.4042,48.4578,2881,54,1,1711276700,1711369445,0
NR,262,3,51543,8228487279,-1,10.3493,48.485,1000,6,1,1711277099,1711369445,0
