radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averagesignal
NR,454,6,10512,5006082389,-1,114.1741,22.2755,1000,3,1,1705879000,1705903562,0
NR,454,6,10512,4997136695,-1,114.1744,22.2754,1000,9,1,1705878699,1705903562,0
NR,454,6,10512,4997136697,-1,114.1743,22.2758,1000,7,1,1705879040,1705903562,0
NR,454,6,10512,5003133240,-1,114.1746,22.2763,1000,7,1,1705879085,1705903562,0
NR,454,6,10512,5003133239,-1,114.1754,22.2771,1000,13,1,1705879156,1705903562,0
NR,454,6,10512,5142774104,-1,114.1755,22.277,1000,3,1,1705879300,1705903562,0
NR,454,6,10512,5000560951,-1,114.1769,22.2779,1000,11,1,1705879391,1705903562,0
NR,454,6,10512,5142774073,-1,114.177,22.2781,1000,2,1,1705879494,1705903562,0
NR,454,6,10512,5007147319,-1,114.1777,22.2783,1000,1,1,1705879570,1705879570,0
NR,454,6,10512,5000560953,-1,114.1778,22.2783,1000,1,1,1705879580,1705879580,0
NR,454,6,10511,5000593721,-1,114.1769,22.2779,1000,7,1,1705879590,1705903562,0
NR,454,6,10512,5006016823,-1,114.1772,22.278,1000,4,1,1705879606,1705903562,0
NR,454,12,60402,1641152915,-1,114.174,22.2755,1000,1,1,1725776030,1725776030,0
NR,454,12,61001,3326525845,-1,113.9939,22.4477,1000,2,1,1726215245,1731646326,0
NR,454,12,61001,3326525843,-1,113.9822,22.4463,1000,13,1,1731653588,1734882543,0
NR,454,12,60901,3351609947,-1,113.9717,22.4134,617,48,1,1734764766,1739071575,0
NR,454,12,60901,3296346713,-1,113.9686,22.4131,1000,12,1,1734764784,1739071575,0
NR,454,12,60901,3368305244,-1,113.9687,22.414,1000,17,1,1734764874,1739071575,0
NR,454,12,60901,3368305243,-1,113.9701,22.4127,500,28,1,1734764994,1739071575,0
NR,454,12,60901,3368305045,-1,113.9683,22.4152,500,32,1,1734765004,1739071576,0
NR,454,12,60901,3368305044,-1,113.9684,22.4153,1000,4,1,1734765034,1738119785,0
NR,454,12,60901,3368305245,-1,113.9678,22.415,500,36,1,1734765074,1739071576,0
NR,454,12,60901,1713193363,-1,113.9687,22.4155,1000,11,1,1734765164,1739071571,0
NR,454,12,60902,1704313155,-1,113.9683,22.4155,1000,1,1,1734765214,1734765214,0
NR,454,12,60901,1713193284,-1,113.9687,22.4153,1000,4,1,1734765254,1739071571,0
NR,454,12,60901,1729904965,-1,113.9678,22.4152,1000,9,1,1734765354,1739071576,0
NR,454,12,60901,3296346714,-1,113.9687,22.4128,1000,3,1,1734826763,1738424113,0
NR,454,12,60901,3368305242,-1,113.9715,22.4128,500,27,1,1734827184,1739071575,0
NR,454,12,60901,3368305241,-1,113.9739,22.4141,1000,18,1,1734827314,1739071575,0
NR,454,12,60901,1713193562,-1,113.9733,22.4144,1000,19,1,1734827334,1739071571,0
NR,454,12,60901,3351609946,-1,113.9789,22.4132,2361,48,1,1734827414,1739071575,0
NR,454,12,60901,1642955353,-1,113.9751,22.4143,1000,4,1,1734827424,1739071575,0
NR,454,12,60901,3294118492,-1,113.9796,22.413,2536,42,1,1734827514,1739071574,0
NR,454,12,60901,3294118489,-1,113.9803,22.4142,2486,22,1,1734827594,1739071574,0
NR,454,12,60901,1655620185,-1,113.9791,22.4116,2016,12,1,1734827614,1739071574,0
NR,454,12,60901,1655620188,-1,113.9798,22.4149,2336,13,1,1734827634,1739071574,0
NR,454,12,60901,3294118292,-1,113.979,22.4136,2222,21,1,1734827754,1739071575,0
NR,454,12,60901,1669808450,-1,113.979,22.413,1000,2,1,1734827934,1739071572,0
NR,454,12,60901,1688748633,-1,113.9839,22.4226,1382,7,1,1734827994,1734937444,0
NR,454,12,60902,3313680987,-1,113.9857,22.4233,1243,11,1,1734828004,1734937444,0
NR,454,12,60902,3313680985,-1,113.9853,22.4252,1000,6,1,1734828014,1734882483,0
NR,454,12,60902,1704313234,-1,113.9864,22.4273,1000,16,1,1734828024,1739071572,0
NR,454,12,60902,1643413906,-1,113.9917,22.426,1000,18,1,1734828034,1738424112,0
NR,454,12,60902,1643413907,-1,113.9893,22.4337,1000,6,1,1734828054,1734882483,0
NR,454,12,61001,3429171603,-1,113.9904,22.436,1000,4,1,1734828064,1734882483,0
NR,454,12,61001,1704640914,-1,113.9915,22.4381,1000,6,1,1734828074,1734882483,0
NR,454,12,61001,1696399964,-1,113.9944,22.4407,1000,20,1,1734828084,1739071572,0
NR,454,12,61001,1704641114,-1,113.992,22.4384,1000,24,1,1734828094,1739071573,0
NR,454,12,61001,1696399961,-1,113.9989,22.4438,1000,10,1,1734828114,1739071572,0
NR,454,12,61001,3295691156,-1,114.0007,22.4447,1000,4,1,1734828124,1734882483,0
NR,454,12,61001,3295691354,-1,114.0024,22.4463,1000,12,1,1734828134,1739071573,0
NR,454,12,61001,3295691155,-1,114.0049,22.4484,1000,2,1,1734828214,1739071568,0
NR,454,12,61001,3295691353,-1,114.0065,22.4498,1000,21,1,1734828234,1739071573,0
NR,454,12,61001,3328803419,-1,114.0088,22.4508,1000,8,1,1734828254,1739071573,0
NR,454,12,61001,3328803418,-1,114.0102,22.451,1000,23,1,1734828264,1739071573,0
NR,454,12,61001,3298017683,-1,114.0181,22.4489,1000,24,1,1734828274,1739071573,0
NR,454,12,61001,1675231833,-1,114.0227,22.4478,1000,9,1,1734828314,1739071573,0
NR,454,12,61001,3298017882,-1,114.0243,22.4477,1000,8,1,1734828324,1739071573,0
NR,454,12,61001,1688109658,-1,114.0255,22.4477,1000,4,1,1734828334,1739071573,0
NR,454,12,61001,1675231834,-1,114.0257,22.4476,1000,10,1,1734828354,1739071573,0
NR,454,12,61001,1644331609,-1,114.0264,22.4472,1000,9,1,1734828404,1739071573,0
NR,454,12,61001,34425324122,-1,114.0274,22.4466,1000,11,1,1734828514,1739071568,0
NR,454,12,61001,3344122459,-1,114.028,22.4456,1000,14,1,1734828625,1739071568,0
NR,454,12,61001,3331965529,-1,114.0289,22.4452,1000,12,1,1734828635,1734937444,0
NR,454,12,61001,3344122261,-1,114.0279,22.4462,1000,1,1,1734828645,1734828645,0
NR,454,12,61001,1647346268,-1,114.0297,22.4465,1000,9,1,1734828778,1739071573,0
NR,454,12,61001,1656635713,-1,114.0285,22.4456,1000,1,1,1734828989,1734828989,0
NR,454,12,61001,3344122259,-1,114.0281,22.4459,1000,3,1,1734829119,1739071568,0
NR,454,12,61001,1647346068,-1,114.0286,22.4456,1000,3,1,1734829129,1734882484,0
