radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averagesignal
NR,525,1,842,8473240597,-1,103.9465,1.3556,721,113,1,1688636566,1725706686,0
NR,525,1,842,8559666198,-1,103.9444,1.3568,1000,21,1,1688812873,1710344465,0
NR,525,1,842,8549590036,-1,103.9453,1.355,823,103,1,1688812911,1725706686,0
NR,525,1,817,8408851477,-1,103.9444,1.3558,1000,3,1,1688812923,1709392262,0
NR,525,1,817,8433263637,-1,103.9437,1.3609,1000,58,1,1688812937,1712765049,0
NR,525,1,817,8408851476,-1,103.9424,1.3587,1000,21,1,1688812947,1710344465,0
NR,525,1,842,8505517078,-1,103.9435,1.3622,1000,46,1,1688813037,1712765048,0
NR,525,1,812,8582849557,-1,103.9454,1.3665,1000,20,1,1688813067,1745816644,0
NR,525,1,872,8425808918,-1,103.8871,1.4011,1000,24,1,1688813483,1723720995,0
NR,525,1,810,8463901716,-1,103.8452,1.3904,839,141,1,1688813898,1715950263,0
NR,525,1,810,8463901718,-1,103.8401,1.3884,790,104,1,1688813928,1716818825,0
NR,525,1,814,8527143956,-1,103.8377,1.3862,852,122,1,1688814068,1723971849,0
NR,525,1,814,8527143957,-1,103.8367,1.3838,500,121,1,1688849380,1723971849,0
NR,525,1,814,8465130516,-1,103.8369,1.383,1000,74,1,1688849478,1723971848,0
NR,525,1,846,8490935317,-1,103.7746,1.4321,1000,8,1,1688851647,1723857843,0
NR,525,1,846,8490853396,-1,103.7733,1.4322,1000,9,1,1688851662,1723857843,0
NR,525,1,846,8490853397,-1,103.7715,1.4328,1000,33,1,1688851845,1723857844,0
NR,525,1,846,8598660118,-1,103.7713,1.4378,1000,14,1,1688851895,1723857844,0
NR,525,1,846,8490853398,-1,103.7716,1.4367,1000,30,1,1688851922,1723857844,0
NR,525,1,846,8563516437,-1,103.7687,1.4414,1000,29,1,1688851961,1723857844,0
NR,525,1,846,8563516438,-1,103.7685,1.4449,1000,20,1,1688852188,1723857844,0
NR,525,1,846,8486265878,-1,103.8077,1.4094,567,50,1,1688898541,1742469723,0
NR,525,1,846,8486265877,-1,103.8127,1.4005,1000,21,1,1688898551,1742469723,0
NR,525,1,810,8495932438,-1,103.8266,1.4282,1000,30,1,1689141095,1710678066,0
NR,525,1,810,8492327958,-1,103.828,1.4305,1000,58,1,1689141155,1710678066,0
NR,525,1,810,8492327957,-1,103.8284,1.4303,1000,22,1,1689142051,1710678066,0
NR,525,1,810,8535499798,-1,103.8309,1.4305,1000,21,1,1689142558,1710678066,0
NR,525,1,810,8496260117,-1,103.8349,1.4287,1000,44,1,1689142668,1713710282,0
NR,525,1,810,8496423958,-1,103.835,1.4228,1000,51,1,1689142818,1713710282,0
NR,525,1,810,8496423957,-1,103.8323,1.4154,1000,71,1,1689142878,1713710283,0
NR,525,1,810,8502076438,-1,103.8334,1.4174,1000,25,1,1689142938,1713710283,0
NR,525,1,810,8424170518,-1,103.8305,1.4135,1204,34,1,1689142968,1713710283,0
NR,525,1,810,8424170517,-1,103.8285,1.4094,1000,65,1,1689142998,1713710283,0
NR,525,1,814,8527143933,-1,103.8378,1.3876,1760,75,1,1689143473,1715950263,0
NR,525,1,809,8534926358,-1,103.8349,1.2776,1000,36,1,1689200163,1725706683,0
NR,525,1,838,8443585556,-1,103.8254,1.2779,1000,18,1,1689200434,1748565841,0
NR,525,1,838,8560649237,-1,103.8166,1.2837,1000,5,1,1689200700,1709168947,0
NR,525,1,838,8562779158,-1,103.8167,1.2824,1000,16,1,1689200710,1750207441,0
NR,525,1,838,8443012118,-1,103.8154,1.2823,1000,7,1,1689200770,1750207441,0
NR,525,1,838,8443012117,-1,103.8166,1.2816,1000,18,1,1689200790,1750207441,0
NR,525,1,838,8443339797,-1,103.8294,1.2792,1000,8,1,1689206006,1710600485,0
NR,525,1,838,8443257876,-1,103.8312,1.2775,1000,14,1,1689206152,1710600485,0
NR,525,1,809,8443831318,-1,103.8328,1.2813,1000,8,1,1689206193,1710600485,0
NR,525,1,809,8443831316,-1,103.8355,1.2818,1000,18,1,1689206224,1710600485,0
NR,525,1,843,8509203478,-1,103.8361,1.3027,500,25,1,1689315460,1748366342,0
NR,525,1,843,8438260756,-1,103.8356,1.303,1000,9,1,1689315728,1748366342,0
NR,525,1,843,8585470996,-1,103.8348,1.3033,1000,10,1,1689315852,1748366342,0
NR,525,1,843,8585470998,-1,103.8365,1.3044,3519,12,1,1689315877,1748366342,0
NR,525,1,812,8473486358,-1,103.9476,1.3602,1000,15,1,1689324805,1710678064,0
NR,525,1,812,8473486357,-1,103.9486,1.3594,1000,17,1,1689324815,1710678064,0
NR,525,1,842,8473240598,-1,103.9463,1.3573,1000,16,1,1689324866,1710678064,0
NR,525,1,842,8559666196,-1,103.9463,1.3564,1000,17,1,1689324894,1710344465,0
NR,525,1,877,8459723796,-1,103.9239,1.3236,1000,9,1,1689455193,1725706684,0
NR,525,1,877,8459723797,-1,103.9232,1.3226,1000,13,1,1689455243,1725706684,0
NR,525,1,847,8449319958,-1,103.8649,1.3291,742,34,1,1689455913,1750244941,0
NR,525,1,847,8450384916,-1,103.8596,1.3301,551,36,1,1689455933,1750244941,0
NR,525,1,847,8450630677,-1,103.8627,1.3311,709,26,1,1689455953,1750244941,0
NR,525,1,847,8450794516,-1,103.8622,1.3362,1000,40,1,1689455993,1710600483,0
NR,525,1,847,8450630678,-1,103.8613,1.3398,1000,98,1,1689456013,1711899725,0
NR,525,1,847,8451613717,-1,103.8616,1.3404,1000,30,1,1689456033,1711899723,0
NR,525,1,847,8451613716,-1,103.86,1.3448,1000,71,1,1689456043,1711899723,0
NR,525,1,814,8462017557,-1,103.8586,1.3485,1000,31,1,1689456073,1711899725,0
NR,525,1,814,8506418196,-1,103.8575,1.3516,1000,75,1,1689456083,1711899725,0
NR,525,1,814,8462345237,-1,103.8573,1.3571,1000,85,1,1689456113,1711899725,0
NR,525,1,814,8462345236,-1,103.859,1.3626,1000,55,1,1689456143,1710600486,0
NR,525,1,814,8462509076,-1,103.8599,1.3653,1000,22,1,1689456173,1710600486,0
NR,525,1,814,8463082517,-1,103.8606,1.3683,1000,56,1,1689456183,1711724042,0
NR,525,1,814,8463082516,-1,103.8613,1.3707,1000,42,1,1689456203,1711724043,0
NR,525,1,814,8559174677,-1,103.859,1.375,1000,41,1,1689456213,1711724043,0
NR,525,1,814,8559174678,-1,103.8587,1.3761,1000,35,1,1689456223,1710600487,0
NR,525,1,814,8463492116,-1,103.8579,1.3758,1000,36,1,1689456233,1711724043,0
NR,525,1,814,8559174676,-1,103.8582,1.3822,1000,43,1,1689456253,1710600487,0
NR,525,1,840,8463983637,-1,103.8582,1.3852,1000,8,1,1689456273,1708867804,0
NR,525,1,810,8601363476,-1,103.8329,1.3809,1000,73,1,1689459920,1723971848,0
NR,525,1,814,8465130518,-1,103.834,1.382,500,110,1,1689459944,1723971848,0
NR,525,1,810,8465294357,-1,103.8299,1.3789,1000,21,1,1689460048,1713710285,0
NR,525,1,810,8601363477,-1,103.8288,1.3774,1000,59,1,1689460057,1723963745,0
NR,525,1,814,8464802836,-1,103.8288,1.3723,1000,38,1,1689460163,1713710285,0
NR,525,1,814,8464802838,-1,103.8286,1.3726,1000,15,1,1689460213,1713710285,0
NR,525,1,814,8464884758,-1,103.8349,1.3789,1000,11,1,1689464135,1708779123,0
NR,525,1,814,8464884756,-1,103.8383,1.3782,1000,12,1,1689465338,1711899725,0
NR,525,1,814,8465212437,-1,103.8394,1.3825,1000,18,1,1689465450,1716805811,0
NR,525,1,810,8464065558,-1,103.8487,1.3921,1276,75,1,1689486337,1715950263,0
NR,525,1,842,8471847958,-1,103.9539,1.3535,1000,30,1,1689488020,1712765046,0
NR,525,1,842,8471847957,-1,103.9567,1.3494,1000,24,1,1689488240,1744213561,0
NR,525,1,812,8571872278,-1,103.9593,1.339,1000,19,1,1689488400,1745816644,0
NR,525,1,812,8470864918,-1,103.9692,1.3409,1000,17,1,1689488490,1745816644,0
NR,525,1,812,8571872276,-1,103.9697,1.3416,1000,14,1,1689488510,1742469722,0
NR,525,1,812,8470864916,-1,103.9718,1.3403,1416,24,1,1689488580,1744471506,0
NR,525,1,812,8558601236,-1,103.977,1.343,1917,26,1,1689488620,1744471506,0
NR,525,1,812,8558601238,-1,103.9687,1.3421,1000,12,1,1689488630,1742469722,0
NR,525,1,812,8558601237,-1,103.9649,1.3349,1000,11,1,1689488660,1742793303,0
NR,525,1,842,8557700116,-1,103.9512,1.3541,1000,17,1,1689494551,1712765046,0
NR,525,1,842,8472830996,-1,103.9511,1.3551,1000,6,1,1689494589,1712765046,0
NR,525,1,842,8472749076,-1,103.9447,1.3553,1000,47,1,1689495134,1725706686,0
NR,525,1,842,8505517076,-1,103.943,1.3612,1000,16,1,1689495323,1710678064,0
NR,525,1,817,8429413397,-1,103.9429,1.3621,1000,11,1,1689495343,1712765049,0
NR,525,1,817,8433263636,-1,103.9434,1.3642,1000,28,1,1689495353,1710678064,0
NR,525,1,817,8429413398,-1,103.9408,1.3665,1000,28,1,1689495444,1708271045,0
NR,525,1,817,8426136596,-1,103.9431,1.3673,1000,3,1,1689495453,1723720992,0
NR,525,1,872,8488313877,-1,103.9129,1.3874,727,50,1,1689497234,1742469722,0
NR,525,1,812,8568185877,-1,103.9111,1.3731,1000,23,1,1689497344,1745816643,0
NR,525,1,807,8445551636,-1,103.8817,1.2957,1000,13,1,1689998137,1750207441,0
NR,525,1,807,8445551637,-1,103.8805,1.2957,1000,15,1,1689998152,1748565841,0
NR,525,1,807,8445551638,-1,103.8793,1.2957,1000,22,1,1689998162,1735605542,0
NR,525,1,811,8429822996,-1,103.8566,1.2956,1000,7,1,1690008288,1711723983,0
NR,525,1,811,8501011476,-1,103.8629,1.2939,1000,18,1,1690009916,1709534887,0
NR,525,1,811,8501011477,-1,103.8633,1.2903,1355,7,1,1690009926,1703957044,0
NR,525,1,811,8518951958,-1,103.8621,1.2928,1000,16,1,1690010012,1709534887,0
NR,525,1,839,8549835797,-1,103.8597,1.2974,1000,23,1,1690010034,1709534888,0
NR,525,1,839,8441865236,-1,103.8608,1.2968,1000,14,1,1690010082,1708867802,0
NR,525,1,811,8518951957,-1,103.8655,1.2942,1000,9,1,1690010110,1709534887,0
NR,525,1,811,8518951956,-1,103.8689,1.2937,1419,13,1,1690010143,1709534887,0
NR,525,1,812,8581784596,-1,103.9088,1.3727,517,30,1,1690010701,1745816643,0
NR,525,1,812,8568185878,-1,103.9116,1.3769,1000,13,1,1690010731,1745816643,0
NR,525,1,872,8488313878,-1,103.9062,1.3946,840,50,1,1690010864,1742469722,0
NR,525,1,872,8487904277,-1,103.906,1.395,562,50,1,1690010884,1742469722,0
NR,525,1,872,8419173398,-1,103.9101,1.3909,1000,38,1,1690011099,1723720994,0
NR,525,1,872,8420402197,-1,103.9135,1.3868,527,47,1,1690011119,1742469722,0
NR,525,1,817,8426136598,-1,103.9379,1.3656,1000,18,1,1690012077,1708271044,0
NR,525,1,817,8428266517,-1,103.937,1.365,1000,9,1,1690012087,1708271044,0
NR,525,1,842,8472749078,-1,103.9414,1.3543,1000,18,1,1690012261,1709392262,0
NR,525,1,842,8472749077,-1,103.9423,1.3542,1000,14,1,1690012295,1709392262,0
NR,525,1,842,8472667156,-1,103.9425,1.352,1000,53,1,1690012324,1710344465,0
NR,525,1,842,8472585236,-1,103.9467,1.3545,1000,26,1,1690012396,1712765046,0
NR,525,1,842,8549590037,-1,103.9463,1.3543,1000,92,1,1690013531,1725706686,0
NR,525,1,838,8415077397,-1,103.8348,1.2829,1000,11,1,1691106563,1710600485,0
NR,525,1,809,8554832918,-1,103.8365,1.2843,1000,13,1,1691106634,1710600485,0
NR,525,1,809,8439817237,-1,103.837,1.2839,1000,15,1,1691106867,1710600485,0
NR,525,1,816,8491836437,-1,103.7703,1.442,1000,14,1,1691778729,1723857844,0
NR,525,1,811,8550982678,-1,103.8549,1.2975,1000,2,1,1692398449,1709534887,0
NR,525,1,811,8429822998,-1,103.8551,1.2965,1000,4,1,1692398469,1709534887,0
NR,525,1,839,8562123796,-1,103.8536,1.2956,1000,6,1,1692398479,1709534887,0
NR,525,1,839,8442438676,-1,103.8513,1.2943,1000,8,1,1692398510,1709534887,0
NR,525,1,809,8561468436,-1,103.8508,1.2879,1000,17,1,1692398520,1711723982,0
NR,525,1,839,8562123797,-1,103.8525,1.293,1000,15,1,1692398530,1709534888,0
NR,525,1,839,8442930197,-1,103.8516,1.3008,1000,18,1,1692399066,1729934102,0
NR,525,1,839,8549835796,-1,103.8633,1.3008,1000,13,1,1692405127,1709534888,0
NR,525,1,839,8442029077,-1,103.8577,1.3004,1000,11,1,1692425459,1708867802,0
NR,525,1,839,8441865238,-1,103.8585,1.3018,1000,3,1,1692425543,1708867802,0
NR,525,1,839,8547378196,-1,103.857,1.299,1000,14,1,1692425976,1711723983,0
NR,525,1,811,8550982676,-1,103.8564,1.2996,1000,5,1,1692426089,1711723983,0
NR,525,1,847,8441373717,-1,103.8539,1.3027,1000,10,1,1692426109,1729934102,0
NR,525,1,839,16794919975,-1,103.8556,1.299,1000,4,1,1692426496,1711723983,0
NR,525,1,839,8555897876,-1,103.8557,1.3006,1000,6,1,1692426697,1729934102,0
NR,525,1,839,8555897877,-1,103.8554,1.2999,1000,4,1,1692427258,1711723983,0
NR,525,1,842,8472830998,-1,103.9474,1.3553,1000,31,1,1692431984,1712765049,0
NR,525,1,842,8471602197,-1,103.9495,1.3509,1000,5,1,1692481662,1712765046,0
NR,525,1,842,8471602196,-1,103.9478,1.3503,1000,22,1,1692481712,1725706686,0
NR,525,1,842,8549999638,-1,103.9491,1.3487,1000,16,1,1692481810,1725706686,0
NR,525,1,842,8471520277,-1,103.9452,1.3475,1000,14,1,1692481876,1712765046,0
NR,525,1,842,8501748758,-1,103.9495,1.3529,1000,7,1,1692482122,1712765046,0
NR,525,1,810,8463901717,-1,103.844,1.3821,1170,50,1,1692686539,1745564762,0
NR,525,1,814,8463574038,-1,103.847,1.3773,1000,25,1,1692686606,1711724043,0
NR,525,1,814,8463328278,-1,103.8457,1.375,500,29,1,1692686715,1745564762,0
NR,525,1,814,8464966676,-1,103.8466,1.3778,1000,34,1,1692686725,1711899725,0
NR,525,1,814,8444896276,-1,103.8476,1.3729,1000,10,1,1692686855,1708779122,0
NR,525,1,814,8444896278,-1,103.8465,1.3726,1000,5,1,1692686869,1745564762,0
NR,525,1,814,8463328277,-1,103.849,1.3703,1000,10,1,1692687402,1708779122,0
NR,525,1,814,8444896277,-1,103.8473,1.3716,1000,2,1,1692688505,1745564762,0
NR,525,1,840,8487822356,-1,103.8745,1.4011,898,50,1,1693471331,1742469722,0
NR,525,1,812,8520999957,-1,103.9195,1.3807,1000,20,1,1693471639,1745816643,0
NR,525,1,812,8430396438,-1,103.9251,1.3782,678,102,1,1693471669,1715038084,0
NR,525,1,812,8430396436,-1,103.9322,1.3757,1000,81,1,1693471714,1715038083,0
NR,525,1,812,8487085077,-1,103.9395,1.3714,617,33,1,1693471751,1745816644,0
NR,525,1,812,8413520916,-1,103.9457,1.3663,1000,15,1,1693471856,1712765048,0
NR,525,1,812,8582849558,-1,103.9472,1.3679,500,25,1,1693471872,1745816644,0
NR,525,1,842,8473158677,-1,103.948,1.356,1000,18,1,1693560941,1712765046,0
NR,525,1,847,8451613718,-1,103.8587,1.3468,1000,23,1,1694751478,1710600486,0
NR,525,1,813,8549426197,-1,103.8137,1.3258,1000,15,1,1694751769,1731060068,0
NR,525,1,813,8507974676,-1,103.8064,1.3161,710,32,1,1694751878,1731060067,0
NR,525,1,843,8455873558,-1,103.8122,1.3044,1000,39,1,1694752168,1725708918,0
NR,525,1,843,8455873556,-1,103.8157,1.3056,1000,36,1,1694761996,1725708916,0
NR,525,1,843,8581620757,-1,103.8178,1.3064,1000,4,1,1694762030,1725708915,0
NR,525,1,839,8441455636,-1,103.8505,1.3008,1000,8,1,1694762581,1711899724,0
NR,525,1,839,8595629076,-1,103.8516,1.301,1000,15,1,1694762591,1711899724,0
NR,525,1,839,8432935957,-1,103.8501,1.3032,1000,6,1,1694772134,1711899725,0
NR,525,1,839,8547378197,-1,103.857,1.2964,1000,20,1,1694772764,1711723983,0
NR,525,1,839,8548606996,-1,103.8673,1.3036,1000,26,1,1694772830,1709534888,0
NR,525,1,839,8407458836,-1,103.871,1.3057,1000,21,1,1694772860,1709534888,0
NR,525,1,877,8530584597,-1,103.8714,1.3063,1000,7,1,1694772870,1709534888,0
NR,525,1,842,8471438357,-1,103.9432,1.3462,1000,4,1,1694773460,1712765046,0
NR,525,1,842,8471438356,-1,103.9444,1.3451,1000,22,1,1694773470,1712765046,0
NR,525,1,842,8471520278,-1,103.9431,1.3464,1000,12,1,1694773510,1710344465,0
NR,525,1,848,8533369877,-1,103.7667,1.3078,1000,17,1,1695885802,1750207441,0
NR,525,1,848,8431789078,-1,103.7572,1.3094,1000,38,1,1695888409,1721214722,0
NR,525,1,848,8467424276,-1,103.7559,1.311,1000,40,1,1695888469,1721214723,0
NR,525,1,848,8549098517,-1,103.754,1.3139,1000,76,1,1695888479,1721214723,0
NR,525,1,848,8467424278,-1,103.7543,1.3155,792,50,1,1695888489,1731976982,0
NR,525,1,848,8465540116,-1,103.7525,1.3202,1000,19,1,1695888499,1750207441,0
NR,525,1,848,8465540117,-1,103.7508,1.3169,1000,70,1,1695888509,1721214723,0
NR,525,1,848,8549098518,-1,103.7518,1.3167,1000,7,1,1695888609,1715166855,0
NR,525,1,818,8505189396,-1,103.7976,1.3471,800,25,1,1695889758,1750244942,0
NR,525,1,840,8487830526,-1,103.8613,1.3997,1000,64,1,1696309245,1715950263,0
NR,525,1,872,8488068117,-1,103.9097,1.3913,1000,11,1,1696309605,1742469722,0
NR,525,1,872,8419173397,-1,103.9137,1.3866,793,50,1,1696309625,1742469722,0
NR,525,1,812,8487085078,-1,103.9308,1.3759,1190,28,1,1696309793,1745816644,0
NR,525,1,817,8430969876,-1,103.9438,1.3686,1000,21,1,1696309853,1745816644,0
NR,525,1,848,8549098516,-1,103.7577,1.3173,1000,19,1,1696318583,1739234762,0
NR,525,1,813,8453088278,-1,103.8241,1.3283,1000,19,1,1696320211,1750071783,0
NR,525,1,813,8453088276,-1,103.827,1.3271,1000,19,1,1696320221,1750244942,0
NR,525,1,813,8414913558,-1,103.8352,1.3267,678,39,1,1696320251,1750244941,0
NR,525,1,813,8449893396,-1,103.8385,1.3289,1602,29,1,1696320311,1750244941,0
NR,525,1,813,8450876437,-1,103.8395,1.3284,1000,21,1,1696320321,1750244942,0
NR,525,1,813,8450876436,-1,103.8457,1.3294,1301,35,1,1696320331,1750244941,0
NR,525,1,813,8451531797,-1,103.8486,1.33,1000,20,1,1696320351,1749640382,0
NR,525,1,813,8450057238,-1,103.8511,1.3294,1000,19,1,1696320381,1750244941,0
NR,525,1,813,8450057236,-1,103.8543,1.3295,1000,17,1,1696320391,1750244941,0
NR,525,1,847,8517313558,-1,103.8567,1.3292,1000,11,1,1696320401,1750244941,0
NR,525,1,847,8450384918,-1,103.8582,1.3296,1000,22,1,1696320411,1750071783,0
NR,525,1,847,8534270998,-1,103.8624,1.3298,1000,21,1,1696320451,1750071783,0
NR,525,1,847,8592270356,-1,103.8638,1.3288,1000,21,1,1696320471,1750071783,0
NR,525,1,847,8534270996,-1,103.8687,1.3277,1000,19,1,1696320481,1750244941,0
NR,525,1,847,8419910678,-1,103.8704,1.3263,1000,10,1,1696320501,1750244941,0
NR,525,1,847,8448992276,-1,103.8721,1.3244,846,28,1,1696320511,1750071783,0
NR,525,1,847,8422859798,-1,103.8717,1.3246,1000,21,1,1696320531,1750244941,0
NR,525,1,847,8447026197,-1,103.8904,1.3226,1000,22,1,1696320651,1750244882,0
NR,525,1,847,8447026196,-1,103.8935,1.3234,738,25,1,1696320671,1750244882,0
NR,525,1,847,8575394838,-1,103.8955,1.3239,720,33,1,1696320691,1750244882,0
NR,525,1,847,8446780437,-1,103.8971,1.3242,1000,18,1,1696320721,1750244882,0
NR,525,1,847,8446780436,-1,103.9011,1.325,1000,11,1,1696320731,1750244882,0
NR,525,1,847,8565072917,-1,103.9035,1.3256,1000,15,1,1696320741,1749640381,0
NR,525,1,847,8565072916,-1,103.9062,1.3266,1000,20,1,1696320751,1750244882,0
NR,525,1,817,8460379156,-1,103.9112,1.3285,1000,21,1,1696320781,1750244882,0
NR,525,1,817,8460706836,-1,103.9147,1.3301,790,28,1,1696320811,1750244882,0
NR,525,1,809,8598905876,-1,103.8459,1.2877,1000,12,1,1696912666,1711723982,0
NR,525,1,818,8527717398,-1,103.8003,1.3451,871,38,1,1696925369,1750244942,0
NR,525,1,818,8453989398,-1,103.8069,1.3386,1000,13,1,1696925428,1750244942,0
NR,525,1,818,8453989396,-1,103.809,1.3368,700,33,1,1696925435,1750071783,0
NR,525,1,818,8527717397,-1,103.8052,1.3403,1072,21,1,1696925445,1750244942,0
NR,525,1,813,8428348438,-1,103.8148,1.3331,895,34,1,1696925453,1750244942,0
NR,525,1,813,8528700438,-1,103.8192,1.3309,1000,18,1,1696925489,1750071783,0
NR,525,1,813,8428348437,-1,103.8178,1.3316,815,32,1,1696925494,1750244942,0
NR,525,1,813,8586126357,-1,103.834,1.3263,1000,16,1,1696925562,1750244941,0
NR,525,1,813,8585225237,-1,103.8435,1.3294,1000,12,1,1696925612,1750244941,0
NR,525,1,813,8507892757,-1,103.8561,1.329,1000,12,1,1696925672,1750244941,0
NR,525,1,847,8449319957,-1,103.8695,1.3272,513,27,1,1696925738,1750244941,0
NR,525,1,847,8555488277,-1,103.8816,1.3208,1000,19,1,1696925830,1750244882,0
NR,525,1,847,8555488276,-1,103.8872,1.3222,1000,22,1,1696925855,1750244882,0
NR,525,1,817,8460379157,-1,103.9086,1.3273,1000,23,1,1696925946,1750244882,0
NR,525,1,817,8460706837,-1,103.9116,1.3286,1000,22,1,1696925958,1750244882,0
NR,525,1,817,8592925717,-1,103.9208,1.3329,1000,21,1,1696926002,1748603102,0
NR,525,1,817,8460952596,-1,103.9193,1.3322,565,28,1,1696926005,1750244882,0
NR,525,1,817,8592925718,-1,103.9227,1.3338,1000,13,1,1696926017,1750244882,0
NR,525,1,817,8460870678,-1,103.9243,1.3344,1000,14,1,1696926029,1750244881,0
NR,525,1,817,8514528277,-1,103.9243,1.334,1000,22,1,1696926032,1750244882,0
NR,525,1,817,8514528276,-1,103.9312,1.3353,704,26,1,1696926052,1750244881,0
NR,525,1,817,8460788758,-1,103.9258,1.3338,5801,20,1,1696926067,1750244881,0
NR,525,1,817,8460788756,-1,103.9288,1.3347,6928,15,1,1696926069,1750244881,0
NR,525,1,817,8461116438,-1,103.9367,1.3352,1000,15,1,1696926082,1748949601,0
NR,525,1,817,8461116436,-1,103.9412,1.3373,1000,20,1,1696926089,1750244881,0
NR,525,1,842,8528618518,-1,103.9403,1.3361,1000,15,1,1696926097,1750244881,0
NR,525,1,817,8507327508,-1,103.9394,1.3374,8569,28,1,1696926107,1750244881,0
NR,525,1,842,8587600917,-1,103.9444,1.3393,1000,23,1,1696926117,1750244881,0
NR,525,1,842,8471028758,-1,103.946,1.3401,685,34,1,1696926137,1750244881,0
