radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averagesignal
NR,208,1,37187,345952326,0,2.4043,49.2151,1000,1,1,1701867766,1701867766,0
NR,208,1,37059,371650624,0,2.6304,49.2048,1000,1,1,1706104924,1706104924,0
NR,208,15,9508,272453038,-1,2.2992,49.059,1415,23,1,1709785804,1742066942,0
NR,208,15,7900,8398179759,-1,-0.4637,46.3112,1559,21,1,1709825371,1747417504,0
NR,208,15,616,8209075631,-1,7.4435,43.7518,3289,34,1,1709882351,1733705221,0
NR,208,16,9508,272453038,-1,2.2844,49.0611,1741,50,1,1709891431,1742066943,0
NR,208,15,9508,272453037,-1,2.3227,49.0619,1205,35,1,1709891461,1742066942,0
NR,208,15,7900,295407023,-1,-0.4546,46.3202,1104,7,1,1709975943,1746969321,0
NR,208,15,9508,8576994733,-1,2.3181,49.0536,2303,50,1,1709988369,1742066942,0
NR,208,15,9508,8293453229,-1,2.3541,49.0238,1057,56,1,1709988389,1711218361,0
NR,208,15,9508,8293453230,-1,2.3508,49.015,1000,30,1,1709988479,1710087122,0
NR,208,15,9508,8293453231,-1,2.3467,49.0231,1000,15,1,1709988489,1710012174,0
NR,208,1,9508,51578847234,-1,2.3641,49.0253,2324,103,1,1709988589,1722705543,0
NR,208,1,9508,51583778817,-1,2.337,49.0381,1642,30,1,1709988649,1722705544,0
NR,208,15,9508,8576994734,-1,2.3501,49.0255,2691,50,1,1709988729,1735674481,0
NR,208,15,9508,8576994735,-1,2.3117,49.0233,1677,65,1,1709988829,1716052623,0
NR,208,15,9508,272453039,-1,2.2932,49.0601,1808,47,1,1709989389,1742066942,0
NR,208,16,9508,272453039,-1,2.2869,49.0599,2011,33,1,1709989451,1736625303,0
NR,208,15,9507,8276315565,-1,2.2221,49.0664,2889,41,1,1709989689,1732404544,0
NR,208,15,9507,8276315566,-1,2.2811,49.0425,6988,45,1,1709989749,1732404544,0
NR,208,15,9507,8276315567,-1,2.1648,49.078,10870,34,1,1709989849,1727566745,0
NR,208,15,9507,8587496877,-1,2.1971,49.0529,968,26,1,1709989879,1732404544,0
NR,208,15,9507,271306158,-1,2.1885,49.061,1000,22,1,1709989899,1714244104,0
NR,208,15,9507,271306157,-1,2.1702,49.076,2049,34,1,1709989939,1728154566,0
NR,208,15,9507,8273513901,-1,2.1662,49.0737,1136,48,1,1709990109,1736625304,0
NR,208,15,9507,8611155373,-1,2.1387,49.0518,4157,26,1,1709990399,1742066944,0
NR,208,1,9506,51578355713,-1,2.1202,49.0832,1000,28,1,1709990529,1710012176,0
NR,208,1,9506,51578273793,-1,2.1102,49.0397,5004,30,1,1709990589,1711233244,0
NR,208,1,9506,51595264019,-1,2.1094,49.0856,1000,17,1,1709990599,1710012177,0
NR,208,1,9506,51576455169,-1,2.1144,49.0856,1000,3,1,1709990609,1710012176,0
NR,208,1,9506,51577520131,-1,2.1138,49.0859,1000,1,1,1709990619,1709990619,0
NR,208,1,9506,51586564121,-1,2.1136,49.086,1000,1,1,1709990629,1709990629,0
NR,208,1,9506,51568263169,-1,2.1131,49.0862,1000,3,1,1709990639,1710012176,0
NR,208,15,9201,6727159213,-1,2.157,49.0212,8049,45,1,1709990649,1716052625,0
NR,208,16,9508,8576994734,-1,2.375,49.0249,1000,7,1,1710059626,1710087121,0
NR,208,1,9508,51578847235,-1,2.3631,49.0272,2146,108,1,1710059633,1722705544,0
NR,208,1,9508,51601555473,-1,2.3889,49.043,2710,18,1,1710059663,1719685202,0
NR,208,1,9508,51567591426,-1,2.351,49.0281,1561,77,1,1710059903,1722705544,0
NR,208,1,9508,51564429313,-1,2.3501,49.0211,1000,33,1,1710060003,1722705543,0
NR,208,1,9508,51583369218,-1,2.3512,49.0062,1000,1,1,1710060973,1710060973,0
NR,208,16,9508,8293453230,-1,2.3528,49.0206,1000,9,1,1710062953,1710087122,0
NR,208,16,9508,8293453229,-1,2.3594,49.0254,1000,4,1,1710063072,1710087122,0
NR,208,15,619,333778351,-1,7.4108,43.7285,1000,21,1,1710065136,1746989768,0
NR,208,15,619,8564673965,-1,7.4573,43.7614,1000,22,1,1710155785,1746989762,0
NR,208,15,209,6965251501,-1,2.5649,49.035,2759,5,1,1710515920,1744059860,0
NR,208,15,9402,275369390,-1,2.5154,48.8466,1319,23,1,1710832673,1732286702,0
NR,208,15,9306,6943821231,-1,2.4915,48.8563,2090,29,1,1710832703,1725877743,0
NR,208,15,9401,279760302,-1,2.497,48.8487,1169,43,1,1710832743,1732790043,0
NR,208,15,9400,6945164718,-1,2.5136,48.842,9522,44,1,1710832793,1725894190,0
NR,208,15,9402,8576322990,-1,2.5108,48.8401,9300,18,1,1710832863,1732286702,0
NR,208,15,9402,275369389,-1,2.5368,48.8511,2494,73,1,1710832883,1725542402,0
NR,208,15,9402,8590036398,-1,2.5062,48.8424,1000,1,1,1710832784,1710832784,0
NR,208,16,9402,275369390,-1,2.5099,48.8428,1000,9,1,1710832794,1721663288,0
NR,208,16,9401,279760302,-1,2.5061,48.8426,1000,1,1,1710832804,1710832804,0
NR,208,15,9402,279055791,-1,2.5233,48.8485,2012,11,1,1710833534,1732133341,0
NR,208,15,9402,8291274159,-1,2.5012,48.8444,8659,13,1,1710833594,1721663288,0
NR,208,15,9402,273059247,-1,2.5132,48.8337,1099,22,1,1710833604,1732810384,0
NR,208,16,9402,279055791,-1,2.5103,48.8427,1000,1,1,1710833784,1710833784,0
NR,208,15,9402,8252738991,-1,2.5088,48.8352,9118,29,1,1710835107,1732887782,0
NR,208,15,9402,273059246,-1,2.5273,48.8323,1849,71,1,1710835540,1725894190,0
NR,208,15,9402,277826989,-1,2.5055,48.8353,8877,33,1,1710835653,1725877743,0
NR,208,16,9402,8252738991,-1,2.5153,48.8331,1000,10,1,1710835986,1710864362,0
NR,208,15,9401,8284720558,-1,2.4984,48.8321,1590,14,1,1710836126,1731687601,0
NR,208,16,9401,8284720558,-1,2.5194,48.8308,1000,1,1,1710836274,1710836274,0
