radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averagesignal
NR,234,15,112300,146309157,-1,-0.1,51.4666,1000,1,1,1719743080,1719743080,0
NR,234,30,166011,232439812,-1,-0.1,51.4666,1000,1,1,1719743540,1719743540,0
NR,234,30,166011,1476575235,-1,-0.1,51.4666,1000,1,1,1719743641,1719743641,0
NR,234,30,166011,8424439821,-1,-0.1003,51.4668,1000,1,1,1719752572,1719752572,0
NR,234,15,112300,146309155,-1,-0.1034,51.4663,1000,1,1,1719905494,1719905494,0
NR,234,15,124611,33718307,-1,-2.619,51.4788,1000,26,1,1719734914,1725721574,0
NR,234,15,124611,33718287,-1,-2.6099,51.4869,1157,32,1,1719738397,1725721574,0
NR,234,15,124611,46071843,-1,-2.5942,51.4996,1000,22,1,1719738647,1725721574,0
NR,234,15,124611,46071823,-1,-2.5833,51.5057,1000,45,1,1719738747,1725992643,0
NR,234,15,124611,1409049,-1,-2.575,51.5098,1000,14,1,1719738887,1723054811,0
NR,234,15,124611,59473935,-1,-2.5556,51.5173,1443,15,1,1719738917,1738763042,0
NR,234,15,124611,59473955,-1,-2.578,51.5251,1000,22,1,1719738927,1747570802,0
NR,234,15,124611,34111513,-1,-2.5691,51.526,2388,14,1,1719738997,1747570802,0
NR,234,15,124611,34111503,-1,-2.5641,51.5345,1324,38,1,1719739117,1747570802,0
NR,234,15,124611,64487449,-1,-2.5626,51.5415,1281,50,1,1719739167,1747570819,0
NR,234,15,124611,64487439,-1,-2.5517,51.5529,3187,50,1,1719739358,1747570819,0
NR,234,15,124582,40534041,-1,-1.7985,51.5387,1541,32,1,1719966952,1743001745,0
NR,234,15,124701,10436623,-1,-0.9569,51.4127,1000,11,1,1719970642,1720522689,0
NR,234,15,124701,6701071,-1,-0.9488,51.4147,1000,5,1,1719970682,1720522689,0
NR,234,15,124701,155287577,-1,-0.9389,51.4177,1380,52,1,1719970692,1720522726,0
NR,234,15,124701,155287567,-1,-0.9165,51.4208,2548,76,1,1719970793,1720522726,0
NR,234,15,124701,86605859,-1,-0.8784,51.4244,1000,4,1,1719970931,1720522690,0
NR,234,15,106190,73662489,-1,-0.6084,51.5027,1546,35,1,1719971738,1729718738,0
NR,234,15,108200,185237529,-1,-0.4942,51.4947,1000,11,1,1719972104,1720522696,0
NR,234,15,108200,185237519,-1,-0.4819,51.4945,1000,28,1,1719972124,1720522696,0
NR,234,15,106191,6570009,-1,-0.4578,51.4958,1000,20,1,1719972448,1720522695,0
NR,234,15,106191,6569999,-1,-0.4525,51.4984,1000,17,1,1719972578,1720522695,0
NR,234,15,106144,11157519,-1,-0.4765,51.5177,1000,9,1,1719973032,1720522693,0
NR,234,15,106190,109052343,-1,-0.4279,51.5013,1000,1,1,1719974421,1719974421,0
NR,234,15,106190,94273561,-1,-0.4265,51.501,1000,8,1,1719974912,1720522715,0
NR,234,15,106191,16367641,-1,-0.4191,51.5056,1000,22,1,1719975142,1720522715,0
NR,234,15,106191,75202585,-1,-0.4194,51.5071,1000,28,1,1719975276,1720522715,0
NR,234,15,106191,75202595,-1,-0.4198,51.5094,1000,32,1,1719975387,1720522715,0
NR,234,15,106191,16367651,-1,-0.4154,51.5119,1000,21,1,1719986630,1720522715,0
NR,234,15,106191,75202575,-1,-0.4132,51.506,1000,11,1,1719986782,1720522714,0
NR,234,15,106191,10158115,-1,-0.4057,51.5068,1000,22,1,1719986870,1720522693,0
NR,234,15,106191,10158095,-1,-0.4073,51.4989,1000,15,1,1719987042,1720522693,0
NR,234,15,106191,10158105,-1,-0.4083,51.5001,1000,16,1,1719987083,1720522693,0
NR,234,15,106144,86245401,-1,-0.4099,51.5187,1000,39,1,1719991781,1720522715,0
NR,234,15,106144,18219033,-1,-0.4146,51.5197,1000,59,1,1719991811,1720522715,0
NR,234,15,106144,18219043,-1,-0.4175,51.522,1000,34,1,1719991879,1720522694,0
NR,234,15,106144,18219023,-1,-0.4167,51.5227,1000,22,1,1719991990,1720522694,0
NR,234,15,106144,86245805,-1,-0.4098,51.5185,1000,6,1,1719995337,1720522694,0
NR,234,15,106144,86245391,-1,-0.4126,51.5208,1000,5,1,1719997784,1720522694,0
NR,234,15,106144,18219427,-1,-0.4166,51.5234,1000,1,1,1719999129,1719999129,0
NR,234,15,106191,75202989,-1,-0.4275,51.506,1000,11,1,1720001997,1720522695,0
NR,234,15,106190,2555939,-1,-0.428,51.5013,1000,1,1,1720002316,1720002316,0
NR,234,15,124701,15630351,-1,-0.8969,51.4235,1000,4,1,1720007142,1720522698,0
NR,234,15,124701,6701091,-1,-0.9636,51.4126,1000,38,1,1720007340,1720522727,0
NR,234,15,124701,10436643,-1,-0.9881,51.4174,1000,38,1,1720007423,1720522727,0
NR,234,15,124611,41680911,-1,-2.2966,51.5103,1078,48,1,1720010760,1743001748,0
NR,234,15,124611,41680931,-1,-2.3199,51.505,1148,41,1,1720010820,1743001748,0
NR,234,15,124611,53673999,-1,-2.4232,51.4978,826,50,1,1720011022,1743001749,0
NR,234,15,124611,53674019,-1,-2.4458,51.4987,920,50,1,1720011120,1743001749,0
NR,234,15,124611,48988185,-1,-2.4691,51.5034,652,50,1,1720011133,1743001749,0
NR,234,15,124611,34504739,-1,-2.4873,51.506,975,27,1,1720011193,1743001749,0
NR,234,15,124611,99123215,-1,-2.5085,51.506,836,47,1,1720011223,1743001749,0
NR,234,15,124611,99123235,-1,-2.5187,51.5132,985,50,1,1720011286,1743001749,0
NR,234,15,124611,32899087,-1,-2.5252,51.5224,607,37,1,1720011316,1743001697,0
NR,234,15,124611,32899097,-1,-2.5277,51.5244,593,34,1,1720011336,1743001750,0
NR,234,15,124611,32899107,-1,-2.5311,51.5325,1286,50,1,1720011346,1743001750,0
NR,234,15,124611,64487459,-1,-2.5641,51.5473,1000,23,1,1720011535,1747570819,0
