instance,step,pop_size,mutation_type,crossover,avg_fitness
france.csv.gz,population,20,flip,uniform,11.354692
france.csv.gz,population,50,flip,uniform,11.196016
france.csv.gz,population,100,flip,uniform,11.225409
france.csv.gz,mutation,50,flip,uniform,11.08114
france.csv.gz,mutation,50,swap,uniform,10.952598
france.csv.gz,crossover,50,swap,uniform,10.355673
france.csv.gz,crossover,50,swap,one_point,11.121043
germany.csv.gz,population,20,flip,uniform,15.662056
germany.csv.gz,population,50,flip,uniform,14.81414
germany.csv.gz,population,100,flip,uniform,14.438146
germany.csv.gz,mutation,100,flip,uniform,14.417896
germany.csv.gz,mutation,100,swap,uniform,12.986448
germany.csv.gz,crossover,100,swap,uniform,12.629365
germany.csv.gz,crossover,100,swap,one_point,14.458321
